番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
27,74,N,74-N-027,風船状変性のみられる疾患はどれか。,鶏痘,副腎皮質機能亢進症,スクレイピー,にくずく肝,甲状腺機能低下症,1,1,鶏痘
28,74,N,74-N-028,牛の IgG に関する記述として正しいのはどれか。,初乳中に含まれる主要な Igクラスである。,血液中で5量体を形成する。,粘膜上皮細胞から分泌される。,即時型アレルギーに関与する。,初回免疫刺激の際に最も早く産生される。,1,1,初乳中に含まれる主要な Igクラスである。
29,74,N,74-N-029,エンベロープを有するウイルス科はどれか。,ノダウイルス科,ポリオーマウイルス科,ヘペウイルス科,アルテリウイルス科,パピローマウイルス科,4,4,アルテリウイルス科
30,74,N,74-N-030,ウイルス感染による家畜の疾患はどれか。,浮腫病,炭疽,伝染性胃腸炎,鼻疽,萎縮性鼻炎,3,3,伝染性胃腸炎
31,74,N,74-N-031,Edward Jenner の業績はどれか。,牛乳の低温殺菌法の発明,顕微鏡の発明,破傷風菌の嫌気培養法の確立,微生物病原説の提唱,種痘の有効性の証明,5,5,種痘の有効性の証明
32,74,N,74-N-032,宿主の肛門周囲や会陰部に産卵する寄生虫はどれか。,葉状条虫(Anoplocephala perfoliata),普通円虫(Strongylus vulgaris),大口馬胃虫(Draschia megastoma),馬蟯虫(Oxyuris equi),馬回虫(Parascaris equorum),4,4,馬蟯虫(Oxyuris equi)
33,74,N,74-N-033,雌の成虫のみが吸血する節足動物はどれか。,ヌカカ類,サシバエ類,マダニ類,シラミ類,ノミ類,1,1,ヌカカ類
34,74,N,74-N-034,「食鳥処理の事業の規制及び食鳥検査に関する法律」の所管省庁はどれか。,環境省,農林水産省,内閣府,厚生労働省,経済産業省,4,4,厚生労働省
35,74,N,74-N-035,「環境基本法」が定める典型7公害に該当しないのはどれか。,海洋汚染,大気汚染,水質汚濁,土壌汚染,地盤沈下,1,1,海洋汚染
36,74,N,74-N-036,2000年~2022年の間に我が国での感染による発生が確認されている人獣共通感染症はどれか。,黄熱,破傷風,ハンタウイルス肺症候群,鼻疽,ペスト,2,2,破傷風
37,74,N,74-N-037,2000年と2010年に我が国で発生した口蹄疫の原因ウイルスの血清型はどれか。,0型,A型,C型,Asial 型,SAT2型,1,1,0型
38,74,N,74-N-038,集団におけるある一時点での罹患個体の割合を示す疫学指標はどれか。,オッズ比,発生率,致命率,有病率,相対リスク,4,4,有病率
39,74,N,74-N-039,犬の永久歯 (犬歯)が萌出する時期はいつか。,20~40日齢,2~3か月齢,4~6か月齢,8~10か月齢,12~15か月齢,3,3,4~6か月齢
40,74,N,74-N-040,犬で心臓の連続性雑音が聴取されるのはどれか。,動脈管開存,肺動脈弁狭窄,心室中隔欠損,僧帽弁閉鎖不全,ファロー四徴症,1,1,動脈管開存
41,74,N,74-N-041,突然死を特徴とする豚の疾患はどれか。,マルベリー心臓病,亜鉛欠乏症,萎縮性鼻炎,滲出性表皮炎,豚赤痢,1,1,マルベリー心臓病
42,74,N,74-N-042,生体組織においてCT値が最も高いのはどれか。,ガス,脂肪,筋肉,水,骨,5,5,骨
43,74,N,74-N-043,放射線による急性障害はどれか。,白血病,発がん,白内障,脱毛,再生不良性貧血,4,4,脱毛
44,74,N,74-N-044,角針での縫合が適する組織はどれか。,消化管,皮膚,筋肉,肝臓,皮下組織,2,2,皮膚
45,74,N,74-N-045,予防的抗菌剤投与が必要ない手術はどれか。,人工材料による胸壁の再建,卵巣子宮摘出術,開放骨折の整復,交通事故による創傷の縫合,結腸切除・吻合術,2,2,卵巣子宮摘出術
46,74,N,74-N-046,しつけ教室を開催するにあたり、社会化期の子犬を対象とすることが重要である。犬の発達ステージの中で社会化期として最も適切なのはどれか。,0~3週齢,3~12週齢,3~6か月齢,6~12か月齢,12~24か月齢,2,2,3~12週齢
48,74,N,74-N-048,単発情動物はどれか。,牛,山羊,馬,豚,犬,5,5,犬
49,74,N,74-N-049,モルモットの妊娠期間として適当なのはどれか。,16日,25日,31日,42日,68日,5,5,68日
50,74,N,74-N-050,真骨魚類の免疫系に含まれるのはどれか。,リンパ節,骨髄,胚中心,脾臓,IgG,4,4,脾臓
1,75,N,75-N-001,隣家で多数の猫を屋外飼養しており、毎年子猫が生まれて困っているとの相談があった。行政機関の動物愛護業務に携わる獣医師が行う飼い主への対応として適当でないのはどれか。,近隣からの苦情を伝え、あとは自己責任で対応するよう伝える。,感染症対策や猫の病気の治療を行っているかを確認する。,不妊去勢手術の必要性について説明し、適正な頭数で飼養するよう伝える。,飼養数を減らすため譲渡先を探すよう伝える。,猫を屋内飼養するよう伝える。,1,1,近隣からの苦情を伝え、あとは自己責任で対応するよう伝える。
2,75,N,75-N-002,インフォームドコンセントに関する記述として最も適切なのはどれか。,診断や治療の内容(効果やリスクなど)について医療者側が専門用語を駆使してよく説明することをいう。,獣医療トラブルを防止するために行うものであり、飼い主との関係構築のためではない。,獣医療行為の効果とリスク、費用に関して十分説明し、理解と合意を得ることである。,伴侶動物においては救命を最優先し、飼い主が苦痛の軽減のための安楽死を望んだとしても獣医師は決して動物の命を奪ってはいけない。,産業動物は経済動物であるため、治療に際し農家の理解を求める必要はない。,3,3,獣医療行為の効果とリスク、費用に関して十分説明し、理解と合意を得ることである。
3,75,N,75-N-003,我が国における動物福祉(アニマルウェルフェア)の考え方に即した家畜の輸送に関する記述として正しいのはどれか。,短時間の輸送であれば特に配慮は必要ない。,長時間の輸送でも乗り物酔い防止のため給餌しない。,区画が十分広ければ、異なる動物種を区分して輸送する必要はない。,輸送中の責任者として獣医師を任命する必要がある。,積込みや積下ろしの際の環境にも配慮する必要がある。,5,5,積込みや積下ろしの際の環境にも配慮する必要がある。
4,75,N,75-N-004,動物実験における3R原則の組合せとして正しいのはどれか。,Reduction(削減) Responsibility (責任) Restriction (制限),Reduction(削減) Responsibility (責任) Restraint (拘束),Reduction (削減) Refinement (洗練) Restraint (拘束),Reduction (削減) Refinement (洗練) Replacement (代替),Reduction (削減) Replacement (代替) Restriction (制限),4,4,Reduction (削減) Refinement (洗練) Replacement (代替)
5,75,N,75-N-005,ペットロスに関する記述として最も適切なのはどれか。,ペットを失った家族の悲しみを表す言葉である。,ペットの行方不明や盗難はペットロスにならない。,ペットを失って正常な状態に回復するのに通常は1週間程度かかる。,インターネットなどを通じて誰にでも相談でき孤立することはない。,克服するには失ったペットのことを忘れる必要がある。,1,1,ペットを失った家族の悲しみを表す言葉である。
6,75,N,75-N-006,「牛の個体識別のための情報の管理及び伝達に関する特別措置法」に関する記述として誤っているのはどれか。,牛海綿状脳症の国内発生がきっかけで制定された。,牛の両耳に個体識別番号を表示した耳標を着けなければならない。,牛が出生したときは届け出なければならない。,牛が死亡したときは届け出なければならない。,牛の管理者は個体識別番号を表示した耳標を取り外すことができる。,5,5,牛の管理者は個体識別番号を表示した耳標を取り外すことができる。
7,75,N,75-N-007,動物衛生の向上を目的として設立された、重要感染症防疫や動物福祉に関わる政府間機関はどれか。,WHO(世界保健機関),WOAH (OIE)(国際獣疫事務局),FAO(国際連合食糧農業機関),WFP(国際連合世界食糧計画),IUCN(国際自然保護連合),2,2,WOAH (OIE)(国際獣疫事務局)
8,75,N,75-N-008,「と畜場法」で定める獣畜でないのはどれか。,牛,豚,めん羊,山羊,鶏,5,5,鶏
9,75,N,75-N-009,「獣医師法」に定められている獣医師の業務でないのはどれか。,飼育動物の診療,診断書の交付,保健衛生の指導,検案簿の保存,動物用医薬品の販売,5,5,動物用医薬品の販売
10,75,N,75-N-010,「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律(薬機法)」に関する記述として最も適切なのはどれか。,規制の対象に化粧品は含まれない。,獣医師は未承認の動物用医薬品の効能について広告できる。,毒薬は施錠できる場所であれば他の品目と一緒に貯蔵できる。,獣医師には動物用医薬品の副作用について国への報告義務がある。,動物用医薬品の製造販売業の許可は厚生労働大臣に申請する。,4,4,獣医師には動物用医薬品の副作用について国への報告義務がある。
11,75,N,75-N-011,麻薬の使用と保管に関する記述として誤っているのはどれか。,麻薬管理者は麻薬に関する帳簿を備えることが義務づけられている。,麻薬施用者免許証は都道府県知事から取得する。,動物診療施設では麻薬施用者免許は獣医師、愛玩動物看護師に与えられる。,麻薬管理者免許は医師、歯科医師、獣医師または薬剤師に与えられる。,麻薬は麻薬業務所内で保管し、麻薬以外の医薬品と区別して鍵をかけた堅固な設備に貯蔵する。,3,3,動物診療施設では麻薬施用者免許は獣医師、愛玩動物看護師に与えられる。
12,75,N,75-N-012,「感染症の予防及び感染症の患者に対する医療に関する法律(感染症法)」に基づいて獣医師が届け出る義務があるサルの感染症はどれか。,細菌性赤痢,デング熱,エムポックス(サル痘),類鼻疽,Bウイルス感染症,1,1,細菌性赤痢
13,75,N,75-N-013,「特定外来生物による生態系等に係る被害の防止に関する法律(外来生物法)」に規定される特定外来生物に該当するのはどれか。,ハクビシン,キョン,だちょう,ヤドクガエル,セイヨウミツバチ,2,2,キョン
14,75,N,75-N-014,「家畜保健衛生所法」に定める家畜保健衛生所の業務として誤っているのはどれか。,野犬の捕獲,家畜衛生に関する思想の普及,家畜人工授精の実施に関する事務,家畜の保健衛生上必要な検査,家畜の伝染病の予防に関する助言,1,1,野犬の捕獲
15,75,N,75-N-015,カルタヘナ議定書の目的はどれか。,放射性物質の拡散防止,動物実験の制限,毒物及び劇物の適正管理,生物多様性の保全,野生動物の保護,4,4,生物多様性の保全
16,75,N,75-N-016,哺乳類家畜の小腸粘膜上皮の形態はどれか。,重層扁平上皮,単層円柱上皮,偽重層線毛上皮,移行上皮,単層扁平上皮,2,2,単層円柱上皮
17,75,N,75-N-017,哺乳類家畜の腎臓に関する記述として正しいのはどれか。,牛は腎盤腺をもつ。,馬は見かけ上の葉状腎(多葉腎)をもつ。,豚は腎杯をもつ。,犬は腎盤を欠く。,ウサギは腎洞を欠く。,3,3,豚は腎杯をもつ。
18,75,N,75-N-018,核でDNAが複製される細胞周期のステージはどれか。,M期,G期,$G_1$ 期,$G_2$ 期,S期,5,5,S期
19,75,N,75-N-019,哺乳類の細胞内液で最も濃度が高いイオンはどれか。,$Na^{+}$,$K^{+}$,$Ca^{2+}$,$Cl^{-}$,$HCO_{3}^{-}$,2,2,$K^{+}$
20,75,N,75-N-020,水溶性ビタミンはどれか。,A,$B_{1}$,D,E,K,2,2,$B_{1}$
21,75,N,75-N-021,プロテインキナーゼCを活性化するセカンドメッセンジャーはどれか。,ジアシルグリセロール,アデニル酸シクラーゼ,ホスホリパーゼ C,cGMP,cAMP,1,1,ジアシルグリセロール
22,75,N,75-N-022,競合性筋弛緩薬はどれか。,パンクロニウム,サクシニルコリン,デカメトニウム,ダントロレン,ヘキサメトニウム,1,1,パンクロニウム
23,75,N,75-N-023,免疫抑制薬はどれか。,タクロリムス,オンダンセトロン,デキストロメトルファン,スクラルファート,フェンタニル,1,1,タクロリムス
24,75,N,75-N-024,水俣病の原因物質はどれか。,ポリ塩化ビフェニル,カドミウム,メチル水銀,ヒ素,鉛,3,3,メチル水銀
25,75,N,75-N-025,真の腫瘍はどれか。,甲状腺腫,カルチノイド,分離腫,黄色腫,腸腺腫症,2,2,カルチノイド
26,75,N,75-N-026,中毒により尿細管上皮に核内封入体を形成するのはどれか。,カドミウム,鉄,銅,鉛,水銀,4,4,鉛
27,75,N,75-N-027,2011年に世界的に撲滅宣言が出された動物の感染症はどれか。,口蹄疫,アフリカ馬疫,牛疫,牛肺疫,小反芻獣疫,3,3,牛疫
28,75,N,75-N-028,「家畜伝染病予防法」において家畜伝染病に指定されているのはどれか。,豚インフルエンザ,豚流行性下痢,伝染性胃腸炎,豚水疱病,豚水疱疹,4,4,豚水疱病
29,75,N,75-N-029,DNAをゲノムとするウイルスはどれか。,カリシウイルス,アレナウイルス,コロナウイルス,イリドウイルス,トガウイルス,4,4,イリドウイルス
30,75,N,75-N-030,マスト細胞(肥満細胞)に結合してアレルギーに関与するのはどれか。,IgA,IgD,IgE,IgG,IgM,3,3,IgE
31,75,N,75-N-031,中間宿主を必要とする線虫はどれか。,犬鞭虫(Trichuris vulpis),犬回虫(Toxocara canis),犬鉤虫(Ancylostoma caninum),犬糸状虫(Dirofilaria immitis),糞線虫(Strongyloides stercoralis),4,4,犬糸状虫(Dirofilaria immitis)
32,75,N,75-N-032,成虫の柔組織に石灰小体が存在する寄生虫はどれか.,普通円虫(Strongylus vulgaris),平腹双口吸虫(Homalogaster paloniae),マンソン裂頭条虫(Spirometra erinaceieuropaei),壺型吸虫(Pharyngostomum cordatum),牛肺虫(Dictyocaulus viviparus),3,3,マンソン裂頭条虫(Spirometra erinaceieuropaei)
33,75,N,75-N-033,反芻動物のルーメンで発酵によって産生される温室効果ガスはどれか。,ハイドロフルオロカーボン (HFCs),メタン($CH_{4}$),亜酸化二窒素($N_{2}O$),パーフルオロカーボン(PFCs),六フッ化硫黄($SF_{6}$),2,2,メタン($CH_{4}$)
34,75,N,75-N-034,我が国の令和4年における食中毒統計で事件数が最も多い病因物質はどれか。,サルモネラ属菌,ノロウイルス,アニサキス,カンピロバクター,植物性自然毒,3,3,アニサキス
35,75,N,75-N-035,北海道で患者が多く報告されている人獣共通感染症はどれか。,ツツガムシ病,日本紅斑熱,野兎病,ライム病,レプトスピラ症,4,4,ライム病
36,75,N,75-N-036,口蹄疫の発生時に防疫措置の対象となる家畜はどれか。,馬,ウサギ,あひる,犬,めん羊,5,5,めん羊
37,75,N,75-N-037,観察集団において一定期間内に疾病が新たに発生する率を表す指標はどれか。,発生率,死亡率,有病率,致命率,累積罹患率,1,1,発生率
38,75,N,75-N-038,企図振戦の原因となる障害部位はどれか。,大脳皮質,大脳辺縁系,小脳,中脳,延髄,3,3,小脳
39,75,N,75-N-039,全身性炎症反応症候群 (SIRS) の診断指標でないのはどれか。,体温,呼吸数,心拍数,白血球数,血小板数,5,5,血小板数
41,75,N,75-N-041,放射線感受性が最も高いのはどれか。,皮膚,筋肉,リンパ節,脳,甲状腺,3,3,リンパ節
42,75,N,75-N-042,国際放射線防護委員会 (ICRP)の2007年勧告において組織加重係数が最も高いのはどれか。,膀胱,乳房,肝臓,脳,唾液腺,2,2,乳房
43,75,N,75-N-043,犬のイソフルランの最小肺胞濃度 (MAC) として適切なのはどれか。,1.30%,1.70%,2.10%,3.10%,7.20%,1,1,1.30%
44,75,N,75-N-044,胃切開部の縫合法として適当でないのはどれか。,単純結節縫合,単純連続縫合,Gambee 縫合,Lembert 縫合,垂直マットレス縫合,5,5,垂直マットレス縫合
45,75,N,75-N-045,犬の攻撃行動または攻撃性に関する記述として誤っているのはどれか。,攻撃行動は身体的な問題から二次的に生じている可能性があるので、必ずその鑑別が必要である。,飼い主との主従関係が破綻していることが理由である場合、体罰が治療に必要である。,攻撃行動は高い遺伝率が知られており、特定の血統に攻撃的な個体が多いことが報告されている。,攻撃性の環境因子として不適切な飼育管理や社会化の不足がある。,攻撃行動は間違った学習により悪化することがあるので、獣医師が早期に介入すべきである。,2,2,飼い主との主従関係が破綻していることが理由である場合、体罰が治療に必要である。
46,75,N,75-N-046,片側性会陰ヘルニア整復術の合併症として適当でないのはどれか。,便失禁,直腸脱,跛行,感染,再発,1,1,便失禁
47,75,N,75-N-047,卵胞刺激ホルモン(FSH)の産生部位はどれか。,視床下部,下垂体前葉,松果体,卵巣,子宮,2,2,下垂体前葉
48,75,N,75-N-048,帯状胎盤の動物はどれか。,馬,牛,山羊,豚,犬,5,5,犬
49,75,N,75-N-049,「特に指定された微生物・寄生虫のいない動物」と定義されるのはどれか。,ノトバイオート,無菌動物,クローン動物,コンベンショナル動物,SPF 動物,5,5,SPF 動物
50,75,N,75-N-050,海水の平均的な塩分濃度はどれか。,0.50%,1.50%,2.50%,3.50%,4.50%,4,4,3.50%
1,76,N,76-N-001,獣医師の行動として適切でないのはどれか。,状態の悪い動物が入院していたため、雇用している獣医師1名を指名し、1週間付き切りで勤務させた。,薬剤耐性菌を有する外傷症例であったため、入院は他の動物と一緒の部屋にしてほしいと言う飼い主の申し出を断った。,去勢手術の予定があったが、午前中の診察が長引いたので、飼い主の同意を得て手術を翌日に延期した。,自院の設備が不十分で、治療リスクが高い症例を他の適切な獣医療施設に紹介した。,保険請求のため、今回治療した先天性疾患を後天的なものとして診断書を書いてほしいという飼い主の要求を断った。,1,1,状態の悪い動物が入院していたため、雇用している獣医師1名を指名し、1週間付き切りで勤務させた。
2,76,N,76-N-002,実験動物の福祉と倫理に関する記述として適切でないのはどれか。,本来の習性に近い行動ができる環境での飼養が望ましい。,疾患モデル動物では発症によって相応の苦痛が生じると考えるべきである。,実験に支障を及ぼさない範囲で麻酔や鎮痛処置を行う。,実験に使う動物数はできる限り少なくすべきである。,麻酔薬を用いて安楽殺する場合は動物の状態にかかわらず時間をかけて投与する。,5,5,麻酔薬を用いて安楽殺する場合は動物の状態にかかわらず時間をかけて投与する。
3,76,N,76-N-003,養鶏場から飼養家きんの死亡が急激に増えているとの連絡があった。同事実を確認した獣医師が最初にとるべき行動として最も適当なのはどれか。,同様の症状がないか、近隣の養鶏場に直行して聞き取りをする。,死亡鶏を死亡獣畜取扱場に運搬するよう指示する。,異常がみられない鶏を近隣の養鶏場に避難させるよう指示する。,管轄の家畜保健衛生所に連絡する。,死亡数が減少するまで様子を見るよう指示する。,4,4,管轄の家畜保健衛生所に連絡する。
4,76,N,76-N-004,獣医療に関する記述として正しいのはどれか。,急患では診療簿に診療を行った年月日のみを記載すればよい。,友人の犬を私的に避妊手術した場合は診療簿の作成は不要である。,診療簿には診療した動物の所有者の氏名と住所を記載する必要がある。,診療簿の保管期間はすべての動物において3年間である。,友人の獣医師から依頼されたため、自ら診察せずに薬を処方した。,3,3,診療簿には診療した動物の所有者の氏名と住所を記載する必要がある。
5,76,N,76-N-005,獣医師の行動として最も適当なのはどれか。,診療費が払えそうにない飼い主が来院したので診療を断った。,飼い主に頼まれたため、診療簿の初診日を1週間後に書き換えた。,口蹄疫を疑ったが、貴重な血統の牛なので診察しなかったことにした。,ペットロスに苦しむ飼い主に早く忘れるべきだと叱責した。,愛犬との災害時の避難について備えておくよう指導した。,5,5,愛犬との災害時の避難について備えておくよう指導した。
6,76,N,76-N-006,「飼料の安全性の確保及び品質の改善に関する法律(飼料安全法)」の対象動物でないのはどれか。,牛,馬,豚,犬,山羊,4,4,犬
7,76,N,76-N-007,「感染症の予防及び感染症の患者に対する医療に関する法律(感染症法)」に基づいて対象動物を診断した獣医師が届け出る義務のある感染症はどれか。,ペスト,オウム病,ラッサ熱,コレラ,ジフテリア,1,1,ペスト
8,76,N,76-N-008,特定の地域からの牛受精卵の輸入を原則として禁止している法律はどれか。,「検疫法」,「感染症の予防及び感染症の患者に対する医療に関する法律(感染症法)」,「家畜改良増殖法」,「家畜伝染病予防法」,「家畜保健衛生所法」,4,4,「家畜伝染病予防法」
9,76,N,76-N-009,日本の家畜共済制度に関する記述として正しいのはどれか。,農業保険法に基づく制度である。,牛の胎児は対象とならない。,家畜が死亡するか廃用になった場合のみ補償の対象となる。,対象家畜に鶏が含まれる。,自由診療であり、診療点数は決められていない。,1,1,農業保険法に基づく制度である。
10,76,N,76-N-010,3か月齢の牛が急性鼓張症で死亡した。死亡牛の処理に関する記述として最も適切なのはどれか。,と畜場に搬入して処分する。,農場の敷地内に埋却する。,農場の敷地内で焼却する。,産業廃棄物として死亡獣畜取扱場に搬入する。,可燃物としてごみ処理施設に搬入する。,4,4,産業廃棄物として死亡獣畜取扱場に搬入する。
11,76,N,76-N-011,「獣医師法」に関連する記述として正しいのはどれか。,獣医師国家試験に合格すればただちに獣医師を名乗ることができる。,獣医師免許の登録事項変更の申請は変更を生じた日から1年以内である。,診療を業務とする獣医師は正当な理由がなく診療を拒んではならない。,診療を業務とする獣医師は臨床研修に努めなくてもよい。,獣医師は3年ごとに氏名その他所定の事項を農林水産大臣に届け出なければならない。,3,3,診療を業務とする獣医師は正当な理由がなく診療を拒んではならない。
12,76,N,76-N-012,「獣医師法」に基づき獣医師のみが業務として診療できるのはどれか。,ウサギ,山羊,みつばち,コイ,あひる,2,2,山羊
13,76,N,76-N-013,飼育動物の診療施設に関する記述として正しいのはどれか。,獣医師のみが開設者となることができる。,開設した日から30日以内に農林水産大臣に届け出なければならない。,消毒設備を設けなければならない。,往診のみで業務を行う場合は開設届の対象とならない。,X線装置を使用する場合、出力が低ければ防護措置を取らなくて良い。,3,3,消毒設備を設けなければならない。
14,76,N,76-N-014,「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律(薬機法)」に規定されているのはどれか。,食品中の動物用医薬品の残留規制,麻薬管理者免許に関する事項,飼料添加物の表示,動物用医薬品の副作用報告義務,診療行為に関する広告の制限,4,4,動物用医薬品の副作用報告義務
15,76,N,76-N-015,我が国における牛海綿状脳症(BSE)の発生を受け、平成15年に制定された法律はどれか。,「飼料の安全性の確保及び品質の改善に関する法律(飼料安全法)」,「食品表示法」,「牛の個体識別のための情報の管理及び伝達に関する特別措置法」,「感染症の予防及び感染症の患者に対する医療に関する法律(感染症法)」,「食品衛生法」,3,3,「牛の個体識別のための情報の管理及び伝達に関する特別措置法」
16,76,N,76-N-016,トルイジンブルー染色で異調染色性(メタクロマジー)を示す細胞はどれか。,線維芽細胞,色素細胞(メラニン細胞),形質細胞,肥満細胞,マクロファージ,4,4,肥満細胞
17,76,N,76-N-017,耳管憩室(喉嚢)をもつ動物はどれか。,牛,馬,豚,犬,鶏,2,2,馬
18,76,N,76-N-018,近位尿細管で再吸収されないのはどれか。,水,グルコース,Na,アミノ酸,クレアチニン,5,5,クレアチニン
19,76,N,76-N-019,下垂体前葉から放出されるホルモンはどれか。,性腺刺激ホルモン放出ホルモン (GnRH),オキシトシン,副腎皮質刺激ホルモン,ソマトメジン,アルドステロン,3,3,副腎皮質刺激ホルモン
20,76,N,76-N-020,血清中に含まれないのはどれか。,フィブリノーゲン,グルコース,トランスフェリン,アルブミン,クレアチニン,1,1,フィブリノーゲン
21,76,N,76-N-021,DNAを有する細胞内小器官はどれか。,リソソーム,ゴルジ体,ペルオキシソーム,ミトコンドリア,小胞体,4,4,ミトコンドリア
22,76,N,76-N-022,H₂ヒスタミン受容体拮抗薬はどれか。,ジブカイン,フェントラミン,ジフェンヒドラミン,ファモチジン,クレマスチン,4,4,ファモチジン
23,76,N,76-N-023,注射用全身麻酔薬はどれか。,チオペンタール,メトプロロール,ハロペリドール,バクロフェン,ナロキソン,1,1,チオペンタール
24,76,N,76-N-024,スモン (亜急性脊髄視神経症)の原因物質はどれか。,ストレプトマイシン,サリドマイド,キノホルム,ペニシリン,クロロキン,3,3,キノホルム
25,76,N,76-N-025,高カルシウム血症を併発しやすい腫瘍はどれか。,副腎皮質腺腫,インスリノーマ,グルカゴノーマ,肛門嚢腺癌,肥満細胞腫,4,4,肛門嚢腺癌
26,76,N,76-N-026,ネグリ小体がみられるのはどれか。,犬ジステンパー,オーエスキー病,マレック病,オウムの嘴羽毛病,狂犬病,5,5,狂犬病
27,76,N,76-N-027,歴史上初めて発見された動物ウイルス(濾過性病原体)はどれか。,鶏肉腫ウイルス,インフルエンザウイルス,口蹄疫ウイルス,狂犬病ウイルス,黄熱ウイルス,3,3,口蹄疫ウイルス
28,76,N,76-N-028,ウイルスの垂直伝播はどれか。,糞口感染,飛沫感染,接触感染,飛沫核感染,介卵感染,5,5,介卵感染
29,76,N,76-N-029,グラム陽性菌が病原体である動物の疾患はどれか。,出血性敗血症,気腫疽,鼻疽,馬パラチフス,萎縮性鼻炎,2,2,気腫疽
30,76,N,76-N-030,真菌の有性胞子はどれか。,厚膜胞子,接合胞子,分生子,胞子嚢胞子,遊走子,2,2,接合胞子
31,76,N,76-N-031,成虫に消化管がないのはどれか。,猫回虫(Toxocara cati),ベネデン条虫 (Moniezia benedeni),ウェステルマン肺吸虫(Paragonimus westermani),イヌジラミ(Linognathus setosus),クリイロコイタマダニ(Rhipicephalus sanguineus),2,2,ベネデン条虫 (Moniezia benedeni)
32,76,N,76-N-032,日本住血吸虫(Schistosoma japonicum)の中間宿主はどれか。,カワニナ,ミヤイリガイ,マメタニシ,ヒラマキミズマイマイ,ケンミジンコ,2,2,ミヤイリガイ
33,76,N,76-N-033,食品の国際規格基準を策定する機関はどれか。,コーデックス委員会,国際獣疫事務局(WOAH),国際連合食糧農業機関(FAO),世界貿易機関(WTO),世界保健機関(WHO),1,1,コーデックス委員会
34,76,N,76-N-034,「感染症の予防及び感染症の患者に対する医療に関する法律(感染症法)」に基づき我が国への輸入が禁止されている動物はどれか。,ヒトコブラクダ,ダチョウ,センザンコウ,コウモリ,アライグマ,4,4,コウモリ
35,76,N,76-N-035,「環境基本法」に基づいて環境基準が定められていないのはどれか。,騒音,振動,大気汚染,土壌汚染,地下水の水質汚濁,2,2,振動
36,76,N,76-N-036,環境性乳房炎の原因菌はどれか。,Staphylococcus aureus,Escherichia coli,Corynebacterium bovis,Streptococcus agalactiae,Mycoplasma bovis,2,2,Escherichia coli
37,76,N,76-N-037,データのばらつき具合を示す指標はどれか。,平均値,p値,中央値,最頻値,標準偏差,5,5,標準偏差
38,76,N,76-N-038,犬のうっ血性左心不全の徴候として最も適当なのはどれか。,肺水腫,胸水貯留,腹水貯留,失神,皮下浮腫,1,1,肺水腫
40,76,N,76-N-040,不足すると牛のグラステタニーを引き起こす物質はどれか。,マグネシウム,カルシウム,鉄,リン,亜鉛,1,1,マグネシウム
41,76,N,76-N-041,放射能の単位はどれか。,グレイ,カーマ,シーベルト,レントゲン,ベクレル,5,5,ベクレル
42,76,N,76-N-042,MRI撮影室および撮影時の注意点に関する記述として誤っているのはどれか。,金属製の酸素ボンベを持ち込んではならない。,撮影時のみ磁場が発生する。,磁気データ消失の危険性がある。,電子機器を誤作動させる可能性がある。,金属インプラントの発熱による熱傷が起こり得る。,2,2,撮影時のみ磁場が発生する。
43,76,N,76-N-043,犬で心肺蘇生時に静脈が確保できない場合の薬剤投与経路として最も適当なのはどれか。,気管内,腹腔内,胸腔内,食道内,心腔内,1,1,気管内
44,76,N,76-N-044,腸管で最も強い縫合糸支持力を有する層はどれか。,粘膜固有層,粘膜下組織,アウエルバッハ神経叢,筋層,漿膜,2,2,粘膜下組織
45,76,N,76-N-045,野良猫に関する記述として誤っているのはどれか。,野良猫とは人間の生活に依存するが飼い主のいない猫である。,屋外飼育の猫は野良猫に由来する感染症に罹患するリスクがある。,保護した野良猫の譲渡は行政機関を介して行う必要がある。,地域の理解のもとに住人等複数で野良猫を管理することを地域猫活動という。,TNR とは Trap、Neuter、Return の頭文字をとったもので野良猫を捕獲し、不妊手術をして同じ場所に戻す活動が一般的である。,3,3,保護した野良猫の譲渡は行政機関を介して行う必要がある。
46,76,N,76-N-046,メッツェンバウム剪刀の用途として最も適当なのはどれか。,縫合糸の切断,白線の切開,粘膜の切除,皮膚の切開,腱の切断,3,3,粘膜の切除
47,76,N,76-N-047,発情期にライトニングがみられる動物はどれか。,牛,馬,豚,犬,猫,2,2,馬
48,76,N,76-N-048,犬の妊娠期間として最も適切なのはどれか。,33日,63日,114日,150日,180日,2,2,63日
49,76,N,76-N-049,マウスの妊娠期間として最も適切なのはどれか。,18〜20日,30〜31日,59〜72日,85〜90日,112〜118日,1,1,18〜20日
50,76,N,76-N-050,真骨魚類のみに特有な内分泌腺はどれか。,鰓後腺,スタニウス小体,副甲状腺,松果体,膵臓ランゲルハンス島,2,2,スタニウス小体
